"Date","Ring","leaf_p_pool","old_p_pool","new_p_pool"
"2013-12-12",1,0.171237473572463,0.141835811582597,0.0294016619898664
"2013-12-12",2,0.193985546573604,0.154910321921084,0.0390752246525201
"2013-12-12",3,0.173920430250081,0.145134945023706,0.0287854852263745
"2013-12-12",4,0.178936403079658,0.148011103873344,0.0309252992063134
"2013-12-12",5,0.234729689175037,0.194130971352722,0.040598717822315
"2013-12-12",6,0.188849906573756,0.151929777355682,0.0369201292180741
"2014-01-14",1,0.195369747664355,0.0701495466845655,0.12522020097979
"2014-01-14",2,0.231844635832928,0.0879813663839833,0.143863269448945
"2014-01-14",3,0.199245535159574,0.0871002522509959,0.112145282908578
"2014-01-14",4,0.192835788893745,0.0933290604812902,0.0995067284124548
"2014-01-14",5,0.253667656924788,0.119454736145998,0.13421292077879
"2014-01-14",6,0.215709689109416,0.0782064237052366,0.137503265404179
"2014-02-26",1,0.242155260627739,0.147800687818675,0.0943545728090641
"2014-02-26",2,0.242539652194081,0.124416667459352,0.118122984734729
"2014-02-26",3,0.20220174467632,0.129393890221853,0.0728078544544675
"2014-02-26",4,0.205179875805514,0.11714140861904,0.0880384671864741
"2014-02-26",5,0.263410093954645,0.183519513686634,0.0798905802680117
"2014-02-26",6,0.227489224636012,0.116984087832565,0.110505136803447
"2014-03-13",1,0.251372990994118,0.226867598503538,0.0245053924905798
"2014-03-13",2,0.244200776718045,0.214850609113863,0.0293501676041816
"2014-03-13",3,0.205951346020975,0.189857052679295,0.0160942933416808
"2014-03-13",4,0.217537532019571,0.200302793536083,0.0172347384834875
"2014-03-13",5,0.284671038087023,0.268216068638582,0.01645496944844
"2014-03-13",6,0.23701943473359,0.212415139720237,0.0246042950133531
"2014-04-14",1,0.279874292596821,0.238781291390055,0.0410930012067656
"2014-04-14",2,0.27385433896526,0.230522268209412,0.0433320707558483
"2014-04-14",3,0.225532171198376,0.193366690042494,0.0321654811558823
"2014-04-14",4,0.24246837626376,0.211397938671161,0.0310704375925984
"2014-04-14",5,0.316426694111325,0.282281202103062,0.0341454920082629
"2014-04-14",6,0.272882258080695,0.220419455194976,0.0524628028857192
"2014-05-07",1,0.209405645125033,0.201375192572949,0.0080304525520834
