"Date","Ring","leaf_pool"
"2013-01-28",2,131.942192554072
"2013-01-28",3,139.281983417058
"2013-01-28",4,130.33172735894
"2013-01-28",5,159.231270997082
"2013-01-28",6,137.362840761551
"2013-02-01",1,126.062030411246
"2013-02-01",2,132.635956582165
"2013-02-01",3,131.763421755801
"2013-02-01",4,128.349780138504
"2013-02-01",5,158.564125068973
"2013-02-01",6,141.83622897567
"2013-02-02",1,127.397642882249
"2013-02-02",2,140.511643999671
"2013-02-02",3,139.919007593486
"2013-02-02",4,131.79949015898
"2013-02-02",5,156.450052257825
"2013-02-02",6,146.931631170038
"2013-02-09",1,129.68302422152
"2013-02-09",2,141.547404379641
"2013-02-09",3,137.848679020096
"2013-02-09",4,129.836240553831
"2013-02-09",5,159.491197982059
"2013-02-09",6,143.932330881714
"2013-02-11",1,133.719541911662
