"Date","Ring","leaf_p_pool"
"2013-01-23",5,0.211163373235883
"2013-01-23",6,0.1808920811799
"2013-01-27",1,0.173924231560524
"2013-01-27",2,0.192334409834737
"2013-01-27",3,0.187376436564798
"2013-01-27",4,0.179796293949814
"2013-01-27",5,0.215383185883229
"2013-01-27",6,0.184051419546031
"2013-01-28",1,0.174984409349485
"2013-01-28",2,0.192619708966732
"2013-01-28",3,0.189890482795466
"2013-01-28",4,0.180677584801728
"2013-01-28",5,0.226759405944201
"2013-01-28",6,0.183868930687338
"2013-02-01",1,0.175438771259041
"2013-02-01",2,0.193632520885315
"2013-02-01",3,0.179640030664062
"2013-02-01",4,0.177930030969293
"2013-02-01",5,0.225809331166874
"2013-02-01",6,0.189856846363217
"2013-02-02",1,0.177297524525402
"2013-02-02",2,0.205130075904733
