Date,Start_date,End_date,Ring,twiglitter_p_flux_mg_m2_d,Days
09/06/2015,17/04/2015,09/06/2015,2,0.012153377,53
09/06/2015,17/04/2015,09/06/2015,3,0.024112318,53
09/06/2015,17/04/2015,09/06/2015,4,0.004124975,53
09/06/2015,17/04/2015,09/06/2015,5,0.005063068,53
09/06/2015,17/04/2015,09/06/2015,6,0.019529529,53
24/08/2015,09/06/2015,24/08/2015,1,0.004081299,76
24/08/2015,09/06/2015,24/08/2015,2,0.003820377,76
24/08/2015,09/06/2015,24/08/2015,3,0.00451779,76
24/08/2015,09/06/2015,24/08/2015,4,0.007647237,76
24/08/2015,09/06/2015,24/08/2015,5,0.020024027,76
24/08/2015,09/06/2015,24/08/2015,6,0.006523056,76
11/09/2015,24/08/2015,11/09/2015,1,0.003715576,18
11/09/2015,24/08/2015,11/09/2015,2,0.001849805,18
11/09/2015,24/08/2015,11/09/2015,3,0.001238525,18
11/09/2015,24/08/2015,11/09/2015,4,0.015754134,18
11/09/2015,24/08/2015,11/09/2015,5,0.001690142,18
11/09/2015,24/08/2015,11/09/2015,6,0.004443181,18
16/10/2015,11/09/2015,16/10/2015,1,0.010416516,35
16/10/2015,11/09/2015,16/10/2015,2,0.014044702,35
16/10/2015,11/09/2015,16/10/2015,3,0.004563091,35
16/10/2015,11/09/2015,16/10/2015,4,0.015454685,35
16/10/2015,11/09/2015,16/10/2015,5,0.009544954,35
16/10/2015,11/09/2015,16/10/2015,6,0.02419494,35
23/11/2015,16/10/2015,23/11/2015,1,0.024948057,38
23/11/2015,16/10/2015,23/11/2015,2,0.018289407,38
23/11/2015,16/10/2015,23/11/2015,3,0.023893563,38
23/11/2015,16/10/2015,23/11/2015,4,0.021424796,38
23/11/2015,16/10/2015,23/11/2015,5,0.040024285,38
23/11/2015,16/10/2015,23/11/2015,6,0.020530205,38
17/12/2015,23/11/2015,17/12/2015,1,0.055863652,24
17/12/2015,23/11/2015,17/12/2015,2,0.075093297,24
17/12/2015,23/11/2015,17/12/2015,3,0.041090302,24
17/12/2015,23/11/2015,17/12/2015,4,0.073522902,24
17/12/2015,23/11/2015,17/12/2015,5,0.112476577,24
17/12/2015,23/11/2015,17/12/2015,6,0.048805426,24
20/01/2016,17/12/2015,20/01/2016,1,0.01537792,34
20/01/2016,17/12/2015,20/01/2016,2,0.038919965,34
20/01/2016,17/12/2015,20/01/2016,3,0.013907146,34
20/01/2016,17/12/2015,20/01/2016,4,0.010797751,34
20/01/2016,17/12/2015,20/01/2016,5,0.038473178,34
20/01/2016,17/12/2015,20/01/2016,6,0.02064759,34
22/02/2016,20/01/2016,22/02/2016,1,0.013573392,33
22/02/2016,20/01/2016,22/02/2016,2,0.015391057,33
22/02/2016,20/01/2016,22/02/2016,3,0.0391165,33
22/02/2016,20/01/2016,22/02/2016,4,0.03444357,33
22/02/2016,20/01/2016,22/02/2016,5,0.037102263,33
22/02/2016,20/01/2016,22/02/2016,6,0.061738405,33
10/03/2016,22/02/2016,10/03/2016,1,0.018248224,17
10/03/2016,22/02/2016,10/03/2016,2,0.009285921,17
10/03/2016,22/02/2016,10/03/2016,3,0.020040202,17
10/03/2016,22/02/2016,10/03/2016,4,0.00678633,17
10/03/2016,22/02/2016,10/03/2016,5,0.035984454,17
10/03/2016,22/02/2016,10/03/2016,6,0.038872871,17
05/04/2016,10/03/2016,05/04/2016,1,0.0070048,26
05/04/2016,10/03/2016,05/04/2016,2,0.009700291,26
05/04/2016,10/03/2016,05/04/2016,3,0.035668267,26
05/04/2016,10/03/2016,05/04/2016,4,0.010412456,26
05/04/2016,10/03/2016,05/04/2016,5,0.032457996,26
05/04/2016,10/03/2016,05/04/2016,6,0.019337418,26
13/05/2016,05/04/2016,13/05/2016,1,0.017677888,38
13/05/2016,05/04/2016,13/05/2016,2,0.01515834,38
13/05/2016,05/04/2016,13/05/2016,3,0.022275089,38
13/05/2016,05/04/2016,13/05/2016,4,0.01495414,38
13/05/2016,05/04/2016,13/05/2016,5,0.01788857,38
13/05/2016,05/04/2016,13/05/2016,6,0.027207222,38
28/06/2016,13/05/2016,28/06/2016,1,0.034460339,46
28/06/2016,13/05/2016,28/06/2016,2,0.020015736,46
28/06/2016,13/05/2016,28/06/2016,3,0.009835611,46
28/06/2016,13/05/2016,28/06/2016,4,0.019438273,46
28/06/2016,13/05/2016,28/06/2016,5,0.017750511,46
28/06/2016,13/05/2016,28/06/2016,6,0.012351635,46
26/07/2016,28/06/2016,26/07/2016,1,0.045179293,28
26/07/2016,28/06/2016,26/07/2016,2,0.013045782,28
26/07/2016,28/06/2016,26/07/2016,3,0.027356552,28
26/07/2016,28/06/2016,26/07/2016,4,0.014489867,28
26/07/2016,28/06/2016,26/07/2016,5,0.017629191,28
26/07/2016,28/06/2016,26/07/2016,6,0.062185312,28
30/08/2016,26/07/2016,30/08/2016,1,0.007548455,35
30/08/2016,26/07/2016,30/08/2016,2,0.004796692,35
30/08/2016,26/07/2016,30/08/2016,3,0.000780066,35
30/08/2016,26/07/2016,30/08/2016,4,0.003127301,35
30/08/2016,26/07/2016,30/08/2016,5,0.009173103,35
30/08/2016,26/07/2016,30/08/2016,6,0.018769671,35
13/09/2016,30/08/2016,13/09/2016,1,0.054232161,14
13/09/2016,30/08/2016,13/09/2016,2,0.000539594,14
13/09/2016,30/08/2016,13/09/2016,3,0.002504421,14
13/09/2016,30/08/2016,13/09/2016,4,0.00972736,14
13/09/2016,30/08/2016,13/09/2016,5,0.016548536,14
13/09/2016,30/08/2016,13/09/2016,6,0.008445824,14
13/10/2016,13/09/2016,13/10/2016,1,0.017161445,30
13/10/2016,13/09/2016,13/10/2016,2,0.017674646,30
13/10/2016,13/09/2016,13/10/2016,3,0.011364325,30
13/10/2016,13/09/2016,13/10/2016,4,0.025940606,30
13/10/2016,13/09/2016,13/10/2016,5,0.052081017,30
13/10/2016,13/09/2016,13/10/2016,6,0.035187805,30
07/11/2016,13/10/2016,07/11/2016,1,0.005884159,25
07/11/2016,13/10/2016,07/11/2016,2,0.015473219,25
07/11/2016,13/10/2016,07/11/2016,3,0.001905003,25
07/11/2016,13/10/2016,07/11/2016,4,0.005898939,25
07/11/2016,13/10/2016,07/11/2016,5,0.018132011,25
07/11/2016,13/10/2016,07/11/2016,6,0.020953151,25
12/12/2016,09/11/2016,12/12/2016,1,0.0158688,33
12/12/2016,09/11/2016,12/12/2016,2,0.014320696,33
12/12/2016,09/11/2016,12/12/2016,3,0.02136534,33
12/12/2016,09/11/2016,12/12/2016,4,0.029490713,33
12/12/2016,09/11/2016,12/12/2016,5,0.035180092,33
12/12/2016,09/11/2016,12/12/2016,6,0.040514609,33
